ANP_ID,Codigo_SIG,ANP,PM,PM_link,FECHA,MODIFICAS,Cate_DEC_1,Cate_Man_1,Region_1,Estado,Municipio,Categoria,Zonificaci,Subzonific,nombre_1,ID,Pesca Comercial,Pesca Deportiva,Pesca,Buceo
1,2.1.01.104,Alto Golfo de California y Delta del Río Colorado,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Aviso%20PM%20RB%20Alto%20Golfo%20de%20California%20Delta%20DOF.pdf,25/09/2009,,RB,RB,Noroeste y Alto Golfo de California,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Peñasco y San Luis Río Colorado,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Aguas costeras,104,SI,SI,SI,SI
1,2.1.01.104,Alto Golfo de California y Delta del Río Colorado,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Aviso%20PM%20RB%20Alto%20Golfo%20de%20California%20Delta%20DOF.pdf,25/09/2009,,RB,RB,Noroeste y Alto Golfo de California,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Peñasco y San Luis Río Colorado,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales 1,Aguas marinas alto golfo de california 1,105,SI,SI,SI,SI
1,2.1.01.104,Alto Golfo de California y Delta del Río Colorado,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Aviso%20PM%20RB%20Alto%20Golfo%20de%20California%20Delta%20DOF.pdf,25/09/2009,,RB,RB,Noroeste y Alto Golfo de California,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Peñasco y San Luis Río Colorado,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales 1,Aguas costeras Bahía de Adair,106,SI,SI,SI,SI
1,2.1.01.104,Alto Golfo de California y Delta del Río Colorado,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Aviso%20PM%20RB%20Alto%20Golfo%20de%20California%20Delta%20DOF.pdf,25/09/2009,,RB,RB,Noroeste y Alto Golfo de California,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Peñasco y San Luis Río Colorado,Zona de Amortiguamiento,Zona de Preservación,Subzona de Preservación,Area de conservacion Vaquita,107,SI,SI,SI,SI
1,2.1.01.104,Alto Golfo de California y Delta del Río Colorado,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Aviso%20PM%20RB%20Alto%20Golfo%20de%20California%20Delta%20DOF.pdf,25/09/2009,,RB,RB,Noroeste y Alto Golfo de California,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Peñasco y San Luis Río Colorado,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales 1,Aguas marinas alto golfo de california 2,108,SI,SI,SI,SI
1,2.1.01.104,Alto Golfo de California y Delta del Río Colorado,SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/Aviso%20PM%20RB%20Alto%20Golfo%20de%20California%20Delta%20DOF.pdf,25/09/2009,,RB,RB,Noroeste y Alto Golfo de California,Baja California y Sonora,Baja California.: Mexicali; Sonora: Puerto Peñasco y San Luis Río Colorado,Zona Núcleo,Zona Núcleo,Zona Núcleo,Nucleo,373,NO,NO,NO,NO
2,,Islas del Pacifico de la Peninsula de Baja California,NO,https://simec.conanp.gob.mx/ficha.php?anp=189,,,RB,RB,,,,Zona de Amortiguamento,,,,545,,,,
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Canales de Ballenas y de Salsipuedes,38,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Puerto Refugio - Machos A,39,SI,SI,SI,SI
4,1.1.06.162,"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",SI,https://www.conanp.gob.mx/que_hacemos/pdf/programas_manejo/2013/BAHIA_DE_LOS_ANGELES_2013.pdf,5/11/2013,,RB,RB,Península de Baja California y Pacífico Norte,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Costa Isla Ángel de la Guarda A,40,SI,SI,SI,SI
