"region","site_name","popularity","ocean_acce","richness","OA","AM","PP"
"Yucatan Peninsula","132_DEGREE",6,1.960153057,5913,0,1,0
"Yucatan Peninsula","40_CANNONS",6,2.208529124,5837,0,1,0
"Northwest Mexico","85_FT_REEF",4,2.428165463,1200,0,1,0
"Northwest Mexico","ABANICOS",2,2.762269282,3513,1,0,0
"Mexican Pacific","AC_LAS_CUEVAS",3,3.394543534,3478,1,0,0
"Northwest Mexico","ACANTILADO_EL_FARO",2,1.553165949,3345,1,0,0
"Mexican Pacific","ACUARIO",0,0,475,0,0,1
"Northwest Mexico","AG_ANIMAS",1,1.278252787,2770,0,0,1
"Northwest Mexico","AG_ANIMAS_LAVADERO",2,1.257554686,2770,0,0,1
"Northwest Mexico","AGUA_DULCE",1,2.267594957,1204,1,0,0
"Mexican Pacific","AHOGADA",5,3.62381112,3853,1,0,0
"Gulf of Mexico","AHOGADO_2",1,4.254657956,5065,0,1,0
"Gulf of Mexico","AHOGADO_4",1,4.442984019,5065,0,1,0
"Gulf of Mexico","AHOGADO_DE_LA_I",1,4.428103198,5065,0,1,0
"Gulf of Mexico","AHOGADO_DEL_ARQUITECTO",1,4.254657956,5065,0,1,0
"Yucatan Peninsula","AK_LA_ISLA",1,4.587337669,NA,0,1,0
"Northwest Mexico","AMARRADERO",3,2.755207087,3811,0,1,0
"Gulf of Mexico","ANA_ELENA",1,2.944157579,5065,0,1,0
"Northwest Mexico","ANEGADA",12,3.90101087,2938,0,1,0
"Gulf of Mexico","ANEGADA_DE_ADENTRO",9,4.220930582,5065,0,1,0
"Gulf of Mexico","ANEGADA_DE_AFUERA",13,2.898808131,5065,0,1,0
"Northwest Mexico","ANEGADOS",5,2.806279599,NA,0,1,0
"Northwest Mexico","ANGELES_LOCOS",5,2.147886977,3876,1,0,0
"Northwest Mexico","ANIMAS",41,1.68599573,3629,1,0,0
"Gulf of Mexico","AOGADO_DEL_ARQUITECTO_GOGLE",1,4.254657956,5065,0,1,0
"Mexican Pacific","AQUARIUM",4,4.277181892,3853,1,0,0
"Northwest Mexico","ARCO_SAN_LUCAS",8,3.671871894,2938,0,1,0
"Yucatan Peninsula","ARENAL_DE_LA_GORDA",3,4.595393609,6244,0,1,0
"Yucatan Peninsula","ARISTOS",17,8.239234645,6039,0,0,1
"Yucatan Peninsula","ARRECIFE_ALACRANES",3,1.008131045,5142,0,0,1
"Gulf of Mexico","ARRECIFE_CABEZO",13,2.93856518,5065,0,1,0
"Gulf of Mexico","ARRECIFE_DE_ENMEDIO",5,1.861557518,5940,0,1,0
"Yucatan Peninsula","ARRECIFE_DICK",0,0,NA,0,1,0
"Yucatan Peninsula","ARRECIFE_GONZALO",3,4.845143637,NA,0,1,0
"Yucatan Peninsula","ARRECIFE_IXLACHE",1,2.271893212,4167,0,1,0
"Northwest Mexico","ARRECIFE_MARIO",26,2.854616936,3805,0,0,1
"Gulf of Mexico","ARRECIFE_PAJAROS",14,4.834679048,5065,0,1,0
"Gulf of Mexico","ARRECIFE_POLO",14,4.38907644,5065,0,1,0
"Gulf of Mexico","ARRECIFE_RIZO",13,4.336289552,5065,0,1,0
"Northwest Mexico","ARRECIFE_SACRAMENTO",1,1.609087536,1468,1,0,0
"Northwest Mexico","ARRECIFE_SAN_MIGUEL",1,3.669069234,1437,1,0,0
"Gulf of Mexico","ARRECIFE_TUXPAN",9,2.908907812,5556,0,1,0
"Yucatan Peninsula","ATLANTIS",3,7.912586154,6039,0,1,0
"Yucatan Peninsula","AVENTURAS_REEF",0,0,NA,0,1,0
"Northwest Mexico","BAH<U+FFFD>A_LA_CHOYA",2,3.145357668,2491,1,0,0
"Northwest Mexico","BAJITO",1,1.703869227,3681,0,0,1
"Northwest Mexico","BAJO",67,1.56208381,3681,1,0,0
"Northwest Mexico","BAJO_DE_90",2,2.5969039,3513,1,0,0
"Northwest Mexico","BAJO_DE_CRISTO",3,3.855119833,3811,1,0,0
"Northwest Mexico","BAJO_DE_LA_MANTA",3,2.747741812,3811,1,0,0
"Mexican Pacific","BAJO_LA_QUEBRADA",4,3.18674863,3478,1,0,0
"Northwest Mexico","BAJO_LOS_MEROS",51,2.679834796,3805,0,0,1
"Northwest Mexico","BAJO_SAN_JOSE",1,1.668178918,1204,1,0,0
"Northwest Mexico","BAJO_SAN_MIGIEL",1,3.282793585,1437,0,1,0
"Northwest Mexico","BAJO_SUBAMRINO",5,5.06246378,3647,1,0,0
"Yucatan Peninsula","BAJOS_DE_MOLAS",27,2.503475435,6160,0,1,0
"Northwest Mexico","BALLENA",65,1.889620548,3681,0,1,0
"Yucatan Peninsula","BALLENA",1,3.545264277,NA,0,1,0
"Northwest Mexico","BALLENA_CSL",11,2.713452864,2938,1,0,0
"Yucatan Peninsula","BANDERAS",22,7.968582421,6039,0,0,1
"Yucatan Peninsula","BARBONES",2,7.76343373,6039,0,0,1
"Gulf of Mexico","BARCO_DE_VALIENTES",1,3.07471442,5065,0,1,0
"Yucatan Peninsula","BARCO_HUNDIDO_CONTOY",1,2.357015911,4167,0,1,0
"Mexican Pacific","BARQUITO",8,3.732227992,2847,1,0,0
"Northwest Mexico","BARRA_DE AFUERA",21,2.82482017,3805,0,0,1
"Northwest Mexico","BARRA_FLOR_MONTALVA",1,0.984374259,2603,1,0,0
"Yucatan Peninsula","BARRACUDA",58,6.098330813,6244,0,1,0
"Yucatan Peninsula","BARRACUDA_REEF",65,6.692301751,6244,0,1,0
"Northwest Mexico","BEACH",8,1.900370079,3607,1,0,0
"Gulf of Mexico","BLAKE",2,1.824187062,5556,1,0,0
"Gulf of Mexico","BLANQUILLA_BOYA_CENTRO",1,4.710350338,5065,0,1,0
"Gulf of Mexico","BLANQUILLA_LADO_DE_AFUERA",1,4.637418924,5065,0,1,0
"Gulf of Mexico","BLANQUILLA_NORTE",1,4.633833124,5065,0,1,0
"Gulf of Mexico","BLANQUILLA_SUR",1,4.710350338,5065,0,1,0
"Yucatan Peninsula","BLANQUIZAR",2,2.603810938,1908,0,1,0
"Yucatan Peninsula","BLANQUIZARES",2,3.109419453,4004,0,1,0
"Gulf of Mexico","BLANQUZALES",5,2.014407925,1126,0,1,0
"Northwest Mexico","BLOW_HOLE",16,2.589086382,2938,1,0,0
"Yucatan Peninsula","BLUE_HA_REEF",2,4.594751823,5837,0,1,0
"Northwest Mexico","BOCA_ANIMAS",1,2.399634945,2219,0,1,0
"Mexican Pacific","BOCA_CHICA",1,3.616171673,3478,1,0,0
"Northwest Mexico","BOCA_PALMERITO",1,2.459081589,2944,1,0,0
"Northwest Mexico","BOCA_SAN_ANDRES",1,2.797861287,2219,1,0,0
"Northwest Mexico","BOCA_SAN_GREGORIO",0,0,1883,1,0,0
"Northwest Mexico","BOCA_SANTO_DOMINGO",1,1.714469985,2219,0,1,0
"Northwest Mexico","BOCANA",1,1.790492409,1468,1,0,0
"Gulf of Mexico","BORRE",1,4.413847318,5065,0,1,0
"Northwest Mexico","BORREGO",1,2.671067164,2741,0,1,0
"Northwest Mexico","BOULDERS",8,1.895019072,3607,1,0,0
"Yucatan Peninsula","BOYA_DE_LOS_LOCOS",11,8.319754664,1853,0,0,1
"Yucatan Peninsula","BOYA_DEL_PUENTE",8,7.981247516,1853,0,1,0
"Mexican Pacific","BOYLER",15,0.286851101,432,0,0,1
"Mexican Pacific","BRISAS_JETTY",0,0,3853,1,0,0
"Mexican Pacific","BUFADERO",1,3.32748406,3478,1,0,0
"Northwest Mexico","BULLDOG",5,2.857090209,NA,0,1,0
"Northwest Mexico","BUQUE_URIBE_121",1,2.373990508,1437,1,0,0
"Northwest Mexico","CABEZA_CABALLO",1,2.612135608,2741,0,1,0
"Northwest Mexico","CABO_CORZO",1,2.309630024,2470,1,0,0
"Gulf of Mexico","CABO_MEX_EXT_N",1,4.408321471,5065,0,1,0
"Gulf of Mexico","CABO_MEX_EXT_S",1,4.375662672,5065,0,1,0
"Mexican Pacific","CABO_PEARCE",10,0.207652722,475,0,0,1
"Northwest Mexico","CABO_SAN_QUINTIN",1,2.536502103,1198,1,0,0
"Mexican Pacific","CACALUTA",6,3.04353549,2847,0,0,1
"Gulf of Mexico","CADENA_DEL_RUSO",1,4.189103232,5065,0,1,0
"Yucatan Peninsula","CADENITA",4,7.567809223,4167,0,0,1
"Northwest Mexico","CALAVERA",1,1.554781293,1204,1,0,0
"Yucatan Peninsula","CALDERAS",1,2.293807986,4167,0,1,0
"Mexican Pacific","CALETA",2,3.845313972,3478,1,0,0
"Yucatan Peninsula","CALETA",0,0,6244,0,1,0
"Mexican Pacific","CALETA_DE_CHON",8,4.547927765,1770,1,0,0
"Northwest Mexico","CALETAS",0,0,3811,1,0,0
"Northwest Mexico","CAMARON",5,2.575231766,3466,0,1,0
"Gulf of Mexico","CAMARONERO",1,2.969042219,5065,0,1,0
"Northwest Mexico","CAMPO_7",1,3.082411793,1343,1,0,0
"Northwest Mexico","CAMPO_KENNEDY",1,4.463032428,1204,1,0,0
"Northwest Mexico","CAMPO_LUNA",2,0.510648347,1744,0,1,0
"Gulf of Mexico","CA<U+FFFD>ADA_DEL_DIABLO",1,2.88585459,5065,0,1,0
"Gulf of Mexico","CA<U+FFFD>ADA_DEL_DIABLO_2",1,2.892294519,5065,0,1,0
"Gulf of Mexico","CA<U+FFFD>ADAS_1",1,2.921782915,5065,0,1,0
"Gulf of Mexico","CA<U+FFFD>ADAS_2",1,2.921782915,5065,0,1,0
"Gulf of Mexico","CA<U+FFFD>ADAS_3",1,2.921782915,5065,0,1,0
"Mexican Pacific","CANAL",1,3.45359166,3478,1,0,0
"Northwest Mexico","CANDELEROS",8,2.311230394,NA,1,0,0
"Yucatan Peninsula","CANNONS",3,3.1305488,6244,0,1,0
"Mexican Pacific","CA<U+FFFD>ON",11,0.283233556,432,0,0,1
"Gulf of Mexico","CA<U+FFFD>ON_DE_JUAREZ",1,4.274050396,5065,0,1,0
"Yucatan Peninsula","CA<U+FFFD>ONES",2,3.253286303,1908,0,1,0
"Yucatan Peninsula","CA<U+FFFD>ONES_CABRILLA",7,4.29213728,NA,0,1,0
"Yucatan Peninsula","CANTAREL",0,0,6244,0,1,0
"Northwest Mexico","CANTIL",46,2.796507311,3805,0,0,1
"Gulf of Mexico","CAOMEX",1,4.235907678,5065,0,1,0
"Yucatan Peninsula","CAPITAN_LAFFITE",7,4.398083708,6244,0,1,0
"Yucatan Peninsula","CARDONA",32,5.966624053,6244,0,0,1
"Northwest Mexico","CARDONAL",1,2.691882973,3878,1,0,0
"Northwest Mexico","CAREYES",3,4.030578006,3876,1,0,0
"Mexican Pacific","CARRIZALES",0,0,3853,1,0,0
"Mexican Pacific","CARRIZALILLO",1,4.440915047,NA,1,0,0
"Mexican Pacific","CASA_DEL_ARABE",1,3.401353297,3478,1,0,0
"Mexican Pacific","CASA_DEL_FABRI",1,3.285316903,3478,1,0,0
"Northwest Mexico","CASCADAS_ARENA",15,3.90101087,2938,0,1,0
"Northwest Mexico","CASCALITAS",2,1.895019072,3607,1,0,0
"Northwest Mexico","CASINO_POINT",5,2.298306829,1200,0,1,0
"Northwest Mexico","CASITAS",24,3.143288793,3805,0,0,1
"Yucatan Peninsula","CATEDRAL",11,3.876770463,6244,0,0,1
"Northwest Mexico","CAVE",10,1.905489048,3607,1,0,0
"Gulf of Mexico","CEMENTERIOS",1,2.969042219,5065,0,1,0
"Yucatan Peninsula","CEREBROS",50,6.352877825,6244,0,1,0
"Northwest Mexico","CERRO_COLORADO",2,2.628089837,3513,1,0,0
"Yucatan Peninsula","CHAC_CHI_REEF",1,2.927757562,NA,0,1,0
"Mexican Pacific","CHACHACUAL",7,2.704178182,2847,0,1,0
"Yucatan Peninsula","CHANCANAAB",79,6.519811169,6244,0,0,1
"Yucatan Peninsula","CHANKANNAB_BOLONES",11,6.128093378,6244,0,0,1
"Yucatan Peninsula","CHEN_RIO",25,4.001922066,6244,0,1,0
"Northwest Mexico","CHILENO",13,2.558253026,2938,1,0,0
"Yucatan Peninsula","CHIMINEA",4,3.134478499,4004,0,0,1
"Northwest Mexico","CHIMO",23,3.85093451,3811,1,0,0
"Yucatan Peninsula","CHITALES",27,7.998863184,6039,0,0,1
"Northwest Mexico","CHOLLA",5,2.259510666,3466,0,0,1
"Gulf of Mexico","CHOPAS",13,4.600806437,5065,0,1,0
"Yucatan Peninsula","CHUCHOS",5,7.80524999,6039,0,1,0
"Yucatan Peninsula","CHUM_CHACAAB_REEF",59,3.843270856,6244,0,0,1
"Yucatan Peninsula","CHUNZUMBUL",59,4.827364393,6244,0,1,0
"Yucatan Peninsula","CHUNZUMBUL_REEF",1,4.827364393,6244,0,1,0
"Northwest Mexico","CICU",2,2.82482017,3805,0,0,1
"Yucatan Peninsula","CIUDAD_UNDIDA",2,2.723450535,1908,0,1,0
"Mexican Pacific","CLARION",6,0,389,0,0,1
"Mexican Pacific","CLUB_DE_YATES",0,0,3853,1,0,0
"Yucatan Peninsula","COCO_BEACH",4,6.092547163,6244,0,1,0
"Yucatan Peninsula","COFRE",8,3.644463735,1853,1,0,0
"Gulf of Mexico","COLAS_DE_GATO",1,4.220930582,5065,0,1,0
"Northwest Mexico","COLOMITOS",9,5.145579082,3811,1,0,0
"Northwest Mexico","COLORADA",1,1.999649428,1772,0,1,0
"Yucatan Peninsula","COLUMBIA_DEEP",38,4.224846698,6244,0,0,1
"Yucatan Peninsula","COLUMBIA_REEF",80,4.224846698,6244,0,0,1
"Northwest Mexico","CONTRABANDO",1,3.467618359,3062,0,0,1
"Yucatan Peninsula","COQUITOS",2,3.235312732,NA,0,1,0
"Yucatan Peninsula","CORAL_GARDEN",3,2.937832657,4004,0,1,0
"Northwest Mexico","CORBETE<U+FFFD>A",22,2.749474158,3811,1,0,0
"Northwest Mexico","CORONADITO",2,2.256498642,2741,0,1,0
"Northwest Mexico","CORONADO_NORTE",7,2.14672669,581,0,1,0
"Northwest Mexico","CORONADO_PUNTA_BLANCA",2,2.298640047,NA,1,0,0
"Northwest Mexico","CORONADO_PUNTA_ESTE",2,2.308908096,2741,0,1,0
