"id_3","En AMP","Sin protección","numero_sitios"
1,5,1,6
2,5,0,5
3,14,22,36
4,0,4,4
5,1,0,1
6,2,7,9
7,4,0,4
8,1,0,1
9,0,6,6
10,2,8,10
11,10,0,10
12,2,0,2
13,1,0,1
14,1,0,1
15,1,4,5
16,2,3,5
17,11,2,13
18,6,0,6
19,0,1,1
20,11,4,15
21,12,2,14
22,3,1,4
23,0,4,4
24,0,2,2
25,0,15,15
26,0,19,19
27,9,8,17
28,1,3,4
29,0,2,2
30,1,0,1
31,0,21,21
32,25,6,31
33,9,24,33
34,8,6,14
35,8,0,8
36,0,1,1
37,1,13,14
38,24,17,41
39,0,5,5
40,1,0,1
41,0,5,5
42,3,18,21
43,0,1,1
44,0,22,22
45,0,1,1
46,0,1,1
47,0,1,1
48,0,20,20
49,0,23,23
50,1,1,2
51,2,1,3
53,2,0,2
54,2,1,3
55,0,6,6
56,84,2,86
57,12,15,27
58,0,3,3
59,1,0,1
60,0,1,1
62,0,1,1
63,0,1,1
65,31,1,32
66,32,2,34
67,20,1,21
68,3,0,3
69,92,16,108
70,33,0,33
71,4,0,4
72,1,0,1
