"REGION","MPA","total_clients","total_divers","total_snork","avg_cost_dive","avg_cost_snork","total_rev_diving","total_rev_snorkel","total_rev","n_operators"
"GM","SISTEMA ARRECIFAL LOBOS-TUXPAN",4800,4800,48,70,25,336000,1200,337200,4
"GM","SISTEMA ARRECIFAL VERACRUZANO",16300,11765,854.75,55.9375,25,651395.9375,21368.75,672764.6875,5
"GM",NA,480,480,0,300,0,144000,0,144000,1
"MP","PARQUE NACIONAL HUATULCO",7020,6068,941.4,98.6,37.8,575980,54459.6,630439.6,5
"MP",NA,118810.625,25392.0909090909,33397.0606060606,108.730837789661,54.8930481283422,2853901.09641873,1804477.90633609,4658379.00275482,17
"NWM","CABO PULMO",36608,13283.2,18766.4,120.916666666667,54.5833333333333,1592320.1,1003363.08333333,2595683.18333333,8
"NWM","ESPIRITU SANTO",53253.3333333333,19745.3333333333,27790.6666666667,161.111111111111,87.7777777777778,3075898.14814815,2375980.74074074,5451878.88888889,12
"NWM","ISLAS DEL PACIFICO DE LA PENINSULA DE BAJA CALIFORINIA - CORONADO",680,680,6.8,80,40,54400,272,54672,2
"NWM","ISLAS DEL PACIFICO DE LA PENINSULA DE BAJA CALIFORINIA - TODOS SANTOS",7786.66666666667,1450.66666666667,1366.66666666667,113.333333333333,68.3333333333333,162952.222222222,102092.222222222,265044.444444444,4
"NWM","ISLAS MARIETAS",64125,31245.8333333333,31354.1666666667,117,50.5,3569985.5,1594708.91666667,5164694.41666667,25
"NWM","LORETO",12440,3752,5648,123.333333333333,65,447020,282600,729620,3
"NWM",NA,554178.75,84064.3636363636,146076.575757576,128.229437229437,58.0779220779221,10689876.2341598,9962343.20110193,20652219.4352617,33
"YP","ARRECIFE DE PUERTO MORELOS",13400,6788,5244,94,32,624046,160364,784410,10
"YP","ARRECIFES DE COZUMEL",461898.181818182,335290.545454545,128945.272727273,90.1818181818182,54.1818181818182,29100496.0991736,7104793.86776859,36205289.9669421,41
"YP","ARRECIFES DE XCALAK",NA,NA,NA,NA,NA,NA,NA,NA,1
"YP","CARIBE MEXICANO - MAHAHUAL",NA,NA,NA,NA,NA,NA,NA,NA,11
"YP","CARIBE MEXICANO - PLAYA DEL CARMEN",603938.666666672,131875.400000004,210138.622222223,102.2,50,13160113.4800004,11907625.3333334,25067738.8133338,36
"YP","CARIBE MEXICANO - RIVIERA MAYA",NA,NA,NA,NA,NA,NA,NA,NA,13
"YP","COSTA OCC. DE I. MUJERES, PTA. CANCUN Y PTA. NIZUC",75870,57519,17709.3,91,42,5430407,743369.6,6173776.6,27
"YP",NA,27708.75,7693.45454545455,6503.30303030303,113.853535353535,50.9848484848485,883256.027548209,360422.258953168,1243678.28650138,6
