company_na,state,region,lat,long,address,phone,email,locality,avg_ope_da,weeks,avg_client,number_yea,avg_cost_d,gross_rev_,avg_cost_s,gross_re_1,avg_operat,net_rev_sc,net_rev_sn,owner_nati,operationa,type_of_bu,n_of_store,employees,diving_imp,certificat,trip_price,trip_pri_1,n_boats,boat_capac,site_healt,conservati,mpa_suppor,fishing,fishing_im,involvemen,interest_j
ABYSS_DIVE_CENTER,QUINTANA ROO,Yucatan Peninsula,20.6261,-87.071109,"Zenzi beach Club meeting point, Centro, 77720 Playa del Carmen, Q.R.",(984) 8732164,info@abyssdivecenter.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAPULCO_SCUBA_CENTER,GUERRERO,Mexican Pacific,16.839838,-99.909707,"Club Na�tico La Marina, Av Costera Miguel Alem�n 215, Las Playas, 39390 Acapulco, Guerrero",044 744 482 9474,informes@acapulcoscuba.com,ACAPULCO,6,52,54.16666667,16900,100,1267500,60,241800,66.27,427527.75,81559.14,MEXICAN,30,Family business,1,3,9,"SSI, PADI",60,30,1,28,2,10,10,Yes,10,10,10
ADVANCED_DIVER_MEXICO,QUINTANA ROO,Yucatan Peninsula,20.650719,-87.075485,"Fuente de Cervantes 9, Santa Fe del Carmen, Playa del Carmen, Q.R., Mexico",(984) 1353305,marcia@advanceddivermexico.com,PLAYA_DEL_CARMEN,7,52,5,1820,250,455000,45.47,827.554,72,127400,231.71512,MEXICAN,11,Family business,1,1,10,IANTD,250,0,0,0,8,10,10,Yes,10,10,10
ADVENTURE_DIVERS,GUERRERO,Mexican Pacific,17.640008,-101.558705,"Ejido 43, Centro, 40880 Zihuatanejo, Gro.",1 755 557 9787,adventurediversmx@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVENTURE_TOURS_YUCATAN,YUCATAN,Yucatan Peninsula,21.027422,-89.579896,"Montecarlo, Calle 23, Montecarlo, Sin Nombre de Col 26, 97130 M�rida, Yuc.",(999) 9442173,eduardo-adventuretoursyucatan,MERIDA,6.5,52,15,5070,95,426795.4167,65,41193.75,72,119502.7167,11534.25,MEXICAN,20,Large sized business owned by one person,1,5,10,SNSI,95,65,1,8,2,10,10,No,5,9,10
AGUA_CLARA_DIVING_TULUM,QUINTANA ROO,Yucatan Peninsula,20.208827,-87.4515,"Av. Coba Km. 0.600 Loc. 1 Centro 77780 Tulum, Q.R.",(984) 8061942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALDORA_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.508088,-86.952621,"Calle 5 Sur No. 37 entre oceanfront street and 5th. Avenue, Cozumel, Q.Roo",(987) 8723397,frontdesk@aldora.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMAR_DIVE_SHOP,BAJA CALIFORNIA,Northwest Mexico,31.8628677,-116.6276413,"Macheros 149, Centro, Zona Centro, 22800 Ensenada, B.C., Mexico (From Google Maps)",00152 646 178 3013,almardive@live.com.mx,ENSEDA,6,52,85.41666667,26650,100,266500,65,17322.50001,63,98605,6409.325003,MEXICAN,17,Medium sized business,2,9,10,ANDI,115,50,4,18,10,10,10,Yes,10,5,10
ALWAYS_DIVING,QUINTANA ROO,Yucatan Peninsula,21.139769,-86.769875,"Blvd. Kukulkan Km 6.5, Zona Hotelera, 77500 Canc�n, Q.R.",01 998 849 5710,alvaro@alwaysdiving.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMIGOS_DEL_MAR,BAJA CALIFORNIA SUR,Northwest Mexico,22.8783169,-109.9107997,"Blvd Marina Plaza Gali s/n Locales 53-54, Col. Marina, Marina, 23450 Cabo San Lucas, B.C.S., Mexico (From Google Maps)",01152 624 143 0505,sealion@amigosdelmar.com,CABO_SAN_LUCAS,7,52,43.75,15925,95,1361587.5,38,60515,63,503787.375,22390.55,CANADIAN,40,Large sized business owned by with 2 or more people,1,12,9,"PADI, SSI",95,38,3,9,7,10,10,Yes,3,10,10
AMIGOS_DEL_MAR_MAHAHUAL,QUINTANA ROO,Yucatan Peninsula,18.715339,-87.708196,"Avenida Malecon corner Coronado Mahahual, Q.R., Mexico",52 1 984-151-6758,info@amigosdelmar.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDROMEDA_DIVERS_Y_MAS,BAJA CALIFORNIA SUR,Northwest Mexico,22.8869489,-109.9074207,"Playa Medano, El Medano Ejidal, 23453 Cabo San Lucas, B.C.S., Mexico (From Google Maps)","01152 624 143 8232, 01152 624 143 2765, 044 624 147 7136, 011 52 624 147 7136",info@scubadivecabo.com,CABO_SAN_LUCAS,6.833333333,52,23.75,8439.166666,75,184329.1667,25,41085.41666,63,68201.79167,15201.60417,MEXICAN,35,Family business,1,3,8,PADI,75,25,1,6,0,10,10,Yes,1,10,10
AQUA_ADVENTURES,QUINTANA ROO,Yucatan Peninsula,21.255785,-86.746321,"Avenida Ju�rez, Centro, 77400 Isla Mujeres, Q.R.",044 998 322 8109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUA_WORLD_SCUBA_DIVING_CENTER,GUERRERO,Mexican Pacific,16.844527,-99.910298,"Av Costera Miguel Alem�n s/n, Las Playas, 39390 Acapulco de Ju�rez, Gro.",01 744 138 9289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUANAUTS_DIVE_ADVENTURES,QUINTANA ROO,Yucatan Peninsula,20.831347,-86.890297,"Marina El Cid, 77580 Puerto Morelos, Q.R.",(998) 2069365,info@aquautsdiveshop.com,PUERTO_MORELOS,7,52,70.83333333,25783.33333,90,1392300,25,257833.3333,72,389844,72193.33333,MEXICAN,12,Family business,2,8,10,"PADI, SSI",90,25,3,10,7,10,10,Yes,5,10,10
AQUATIC_SPORTS_AND_ADVENTURES,COLIMA,Mexican Pacific,19.118447,-104.35526,"Naranjos 30, Santiago Centro, 28860 Manzanillo, Col.",01 314 334 6394,,MANZANILLO,6,52,13.75,4290,110,424710,55,23595,66.27,143254.683,7958.5935,UNITED STATES,10,Family business,1,1,10,PADI,110,55,,,7,10,8,Yes,4,10,10
AQUATIC_SPORTS_COZUMEL,QUINTANA ROO,Yucatan Peninsula,20.497954,-86.956544,"5 Avenida Sur Bis C 550, Gonzalo Guerrero, 77600 San Miguel de Cozumel, Q.R.",(987) 8720640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUAWORLD,QUINTANA ROO,Yucatan Peninsula,21.084025,-86.774769,"Boulevard Kukulcan km 15.3, Zona Hotelera, 77500 Canc�n, Q.R.",01 998 689 1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUAWORLD_COZUMEL,QUINTANA ROO,Yucatan Peninsula,20.482132,-86.972067,"Km. 3.5 Avenida Costera Cozumel, Q.Roo",(998) 8488326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIS_CLUB_DE_BUCEO,JALISCO,Northwest Mexico,20.691977,-103.454428,"Concentro, Local N6. Perif�rico 6503, Ciudad Granja, CP 45010  Zapopan, Jal.",044 477 169 5708,club@atlantisbuceo.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVENTURA_SUBMARINA,OAXACA,Mexican Pacific,15.861991,-97.061996,"Avenida Perez Gasga Numero 609 , Puerto Escondido 71983, M�xico",01 954 544 4862,,PUERTO_ESCONDIDO,7,52,10,3640,80,262080,15,2730,66.27,88399.584,920.829,MEXICAN,33,Family business,1,3,10,PADI,80,15,1,6,5,10,10,Yes,5,10,10
BAJA_BLUE_DIVERS,BAJA CALIFORNIA,Northwest Mexico,31.8636695,-116.6573351,"Bahia Ensenada, 22880 Ensenada, Baja California","01152 1 646 196 1707, 01152 1 646 102 2364, 323 345 4870",bajabluediver@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJA_DIVE,BAJA CALIFORNIA SUR,Northwest Mexico,22.880205,-109.9120221,"Blvd. Marina and Cabo San Lucas I-4, Centro, 23450 Cabo San Lucas, B.C.S., Mexico (From Google Maps)","01152 624 143 7659, 044 624 164 3712",bajadive@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJA_DIVING_ADVENTURES,BAJA CALIFORNIA,Northwest Mexico,31.85885,-116.621613,"Avenida de la Marina s/n, Centro, Zona Centro, 22800 Ensenada, B.C.",01 646 132 5331,,ENSEDA,7,52,20,7280,125,273000,90,458640,63,101010,169696.8,MEXICAN,3,Family business,1,5,10,PADI,80,40,2,14,1,10,10,Yes,10,10,10
"BAJA_EXPEDITIONS_DE_MEXICO,_S.A._DE_C.V.",BAJA CALIFORNIA SUR,Northwest Mexico,24.149813,-110.3302109,"Calle Sonora #585 entre Abasolo y, Topete, Barrio Manglito, 23060 La Paz, B.C.S.","01152 612 125 3828, 800 843 6967, 858 581 3311","travel@bajaex.com, operaciones@bajaex.com, javier@bajaex.com",LA_PAZ,5.5,52,26.25,7507.5,150,112612.5,100,600600,63,41666.625,222222,MEXICAN,45,Medium sized business,1,31,5,PADI,150,100,7,9,,10,8,No,5,5,1
BAJO_EL_MAR_ACAPULCO,GUERRERO,Mexican Pacific,16.843459,-99.910456,"Paseo del Pescador, Las Playas, 39390 Acapulco de Ju�rez, Gro.",01 55 5502 4899,bajoelmaracapulco@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDERAS_SCUBA_REPUBLIC,JALISCO,Northwest Mexico,20.603321,-105.23646,"L�zaro C�rdenas 230, Emiliano Zapata, 48300 Puerto Vallarta, Jal.",01 322 135 7884,info@bs-republic.com,PUERTO_VALLARTA,5,52,11.66666667,3033.333333,90,245700,5,1516.666667,63,90909,561.1666668,MEXICAN,14,Family business,1,,10,PADI,,,0,8,7,7,10,Yes,10,10,10
BAREFOOD_DIVECENTER_COZUMEL,QUINTANA ROO,Yucatan Peninsula,20.508372,-86.949509,"10 Av #198 Entre 1a Sur Y Calle A.R. Salas Cozumel, Q Roo 77600, Centro, 77600 San Miguel de Cozumel, Q.R.",01 987 878 3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEYOND_DIVING,QUINTANA ROO,Yucatan Peninsula,20.636611,-87.062242,"Calle 46 Norte Across from Police Station. Playa del Carmen, QROO Mexico",(984) 8033043,info@beyonddivingscuba.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE_ANGEL_SCUBA,QUINTANA ROO,Yucatan Peninsula,20.492042,-86.966068,"Carr. Costera Sur 2.2 Zona Hotelera Sur, Cozumel, Q.Roo","(987) 8720819, (987) 8721631",diveshop@blueangelresort.com,COZUMEL,7,52,383.3333333,139533.3333,100,12558000,45,627900,72,3516240,175812,CANADIAN,30,Medium sized business,2,24,10,PADI,100,45,4,14,7,10,10,Yes,7,10,10
BLUE_CABO,BAJA CALIFORNIA SUR,Northwest Mexico,23.0490283,-109.7091363,"Paseo Malecon San Jose s/n, Centro, 23400 San Jos� del Cabo, B.C.S., Mexico (From GoogleMaps)",01152 624 129 8101,info@bluecabo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE_FISH,BAJA CALIFORNIA SUR,Northwest Mexico,22.8815759,-109.9128477,"Igy Marina Dock LMN, Marina, 23450 Cabo San Lucas, Baja California Sur, Mexico (From GoogleMaps)","52  624 166 0211, 52 624 105 1004",,CABO_SAN_LUCAS,7,52,229.1666667,83416.66667,115,2476716.667,25,1399125,63,916385.1667,517676.25,MEXICAN,9,Family business,1,7,10,NO,115,25,3,16,7,10,10,Yes,1,10,10
BLUE_LIFE,QUINTANA ROO,Yucatan Peninsula,20.635241,-87.063135,"Calle Flamingo, Centro, 77710 Playa del Carmen, Q.R.",+1 707-726-1122,info@bluelife.com,PLAYA_DEL_CARMEN,7,52,11.66666667,4246.666667,90,382200,70,2972.666675,72,107016,832.346669,MEXICAN,7,Family business,1,5,10,"PADI, TDI",90,70,0,0,7,10,10,Yes,5,10,10
BLUE_MAGIC_SCUBA,QUINTANA ROO,Yucatan Peninsula,20.512449,-86.947654,"Calle 4 Norte 71, Centro, 77600 San Miguel de Cozumel, Q.R.",(987) 8726143,bmsadmin@bluemagicscuba.com,COZUMEL,7,52,145.8333333,53083.33333,88,4671333.333,45,23887.49999,72,1307973.333,6688.499998,USA,9,Family business,1,13,10,PADI,88,45,3,8,8,10,10,Yes,8,10,9
BLUE_MOTION_DIVERS,QUINTANA ROO,Yucatan Peninsula,20.650678,-87.076934,"Santa Fe del Carmen 77712 Playa del Carmen, Quintana Roo",(984) 181 5718,info@bluemotiondivers.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
