"locality","lat","long","total_rev"
"CIUDAD DE MEXICO",19.414544,-99.166513,144000
"TAMPICO",22.259062,-97.863013,NA
"TUXPAN",21.261094,-97.442979,84300
"TUXPAN",20.952862,-97.456703,84300
"TUXPAN",20.955144,-97.41373,84300
"VERACRUZ",19.193783,-96.124724,208050
"VERACRUZ",19.163928,-96.109507,15470
"VERACRUZ",19.172578,-96.119462,194700
"VERACRUZ",19.197899,-96.13068,118650
"VERACRUZ",19.061489,-95.990118,135894.6875
"MANZANILLO",19.118447,-104.35526,68970
"MANZANILLO",19.104005,-104.342726,738000
"MANZANILLO",19.119819,-104.360308,120600
"MANZANILLO",19.078656,-104.305355,62370
"ACAPULCO",16.839838,-99.909707,232200
"ACAPULCO",16.844527,-99.910298,232200
"ACAPULCO",16.843459,-99.910456,232200
"ACAPULCO",16.82992,-99.901361,232200
"IXTAPA",17.640008,-101.558705,92858.8888888889
"IXTAPA",17.620983,-101.551246,92858.8888888889
"IXTAPA",17.639081,-101.557628,55020
"IXTAPA",17.633021,-101.559238,138600
"IXTAPA",17.6527,-101.599548,82340
"IXTAPA",17.636702,-101.560399,92858.8888888889
"MORELIA",19.695905,-101.169349,NA
"HUATULCO",15.767336,-96.138312,49194
"HUATULCO",15.76436,-96.138714,33060
"HUATULCO",15.764435,-96.121335,314336
"HUATULCO",15.762198,-96.129403,89300
"HUATULCO",15.774363,-96.138992,144549.6
"PUERTO ESCONDIDO",15.861991,-97.061996,34920
"PUERTO ESCONDIDO",15.850746,-97.054403,170350
"BAHIA DE LOS ANGELES",28.957564,-113.559143,NA
"ENSENADA",31.8628677,-116.6276413,43665
"ENSENADA",31.8636695,-116.6573351,60450
"ENSENADA",31.85885,-116.621613,96480
"TIJUANA",32.523512,-117.03264,27336
"TIJUANA",32.339548,-117.055658,27336
"CABO PULMO",23.4448093,-109.4565792,108943.333333333
"CABO PULMO",23.3398796,-109.4994946,131705
"CABO PULMO",23.4370987,-109.42713,619800
"CABO PULMO",23.4367201,-109.4339294,351200
"CABO PULMO",23.435871,-109.427656,397600
"CABO PULMO",23.4367201,-109.4339294,328811.616666667
"CABO PULMO",23.436,-109.429,328811.616666667
"CABO PULMO",23.4387089,-109.4320757,328811.616666667
"LA PAZ",24.149813,-110.3302109,119700
"LA PAZ",24.1545561,-110.3253268,660000
"LA PAZ",24.1598427,-110.3157924,31680
"LA PAZ",24.279128,-110.3315021,975120
"LA PAZ",24.203642,-110.300356,696000
"LA PAZ",24.1455064,-110.3419177,81600
"LA PAZ",24.159683,-110.317978,387000
"LA PAZ",24.159979,-110.318972,837900
"LA PAZ",24.183765,-110.302573,468382.962962963
"LA PAZ",24.160038,-110.31894,468382.962962963
"LA PAZ",24.18287,-110.302609,257730
"LA PAZ",24.162922,-110.317124,468382.962962963
"LA VENTANA",24.0472054,-109.9904876,NA
"LA VENTANA",24.0613386,-109.9937225,NA
"LA VENTANA",24.0477626,-109.9904568,NA
"LORETO",26.009735,-111.345159,84900
"LORETO",26.007874,-111.3525509,263220
"LORETO",26.0102688,-111.3440026,381500
"LOS BARRILES",23.6781766,-109.6995217,NA
"LOS CABOS",22.8783169,-109.9107997,187530
"LOS CABOS",22.8869489,-109.9074207,30450
"LOS CABOS",22.880205,-109.9120221,712430.136094674
"LOS CABOS",23.0490283,-109.7091363,712430.136094674
"LOS CABOS",22.8815759,-109.9128477,511100
"LOS CABOS",22.878576,-109.9128055,5940000
"LOS CABOS",22.8808351,-109.913951,108000
"LOS CABOS",22.8815889,-109.9127597,712430.136094674
"LOS CABOS",22.881802,-109.911694,712430.136094674
"LOS CABOS",22.884782,-109.911126,214200
"LOS CABOS",22.8805819,-109.9140277,287825
"LOS CABOS",22.898449,-109.955464,514600
"LOS CABOS",22.88077,-109.9113,712430.136094674
"LOS CABOS",22.887812,-109.912815,50260
"LOS CABOS",23.0490283,-109.7091363,712430.136094674
"LOS CABOS",22.8810572,-109.9137555,712430.136094674
"LOS CABOS",22.8784681,-109.9107347,548100
"LOS CABOS",22.8882189,-109.9163997,112000
"LOS CABOS",22.895842,-109.892862,712430.136094674
"LOS CABOS",22.8776219,-109.9103787,638400
"LOS CABOS",22.8776219,-109.9103787,2232000
"LOS CABOS",22.8776219,-109.9103787,712430.136094674
"GUADALAJARA",20.691977,-103.454428,552160
"GUADALAJARA",20.682037,-103.343212,565250
"GUADALAJARA",20.67365,-103.395498,539070
"MISMALOYA",20.531827,-105.289913,180000
"PUERTO VALLARTA",20.603321,-105.23646,45640
"PUERTO VALLARTA",20.613009,-105.233567,231981.0625
"PUERTO VALLARTA",20.660234,-105.239717,63840
"PUERTO VALLARTA",20.665396,-105.248951,231981.0625
"PUERTO VALLARTA",20.665637,-105.248998,231981.0625
"PUERTO VALLARTA",20.663316,-105.252521,231981.0625
"PUERTO VALLARTA",20.665981,-105.251015,231981.0625
"PUERTO VALLARTA",20.634783,-105.223687,231981.0625
"PUERTO VALLARTA",20.633687,-105.230288,656000
"PUERTO VALLARTA",20.639589,-105.226564,231981.0625
