"id","region","state","locality","site_name","latitude","longitude","protection","popularity","length_sca","n_marinas_","size","marina_id","ocean_acce","land_acces","accessibil","geometry"
1,"Yucatan Peninsula","QUINTANA_ROO","BANCO_CHINCHORROS","132_DEGREE",18.77745437,-87.32370391,"Not take zone","6","1.960153057","0","1","406","1.960153057","1.875","3.675286983",c(-87.32370391, 18.77745437)
2,"Yucatan Peninsula","QUINTANA_ROO","BANCO_CHINCHORROS","40_CANNONS",18.73911455,-87.35598319,"Into MPA","6","2.036115331","0.172413793","1","406","2.208529124","1.875","4.140992108",c(-87.35598319, 18.73911455)
3,"Northwest Mexico","BAJA_CALIFORNIA","TIJUANA","85_FT_REEF",32.37732091,-117.2073272,"Into MPA","4","2.255751669","0.172413793","2","36","2.428165463","7.5","18.21124097",c(-117.2073272, 32.37732091)
4,"Northwest Mexico","BAJA_CALIFORNIA SUR","LOS_CABOS","ABANICOS",23.004123,-109.708393,"Not protected","2","2.589855489","0.172413793","3","23","2.762269282","9.375","25.89627452",c(-109.708393, 23.004123)
5,"Mexican Pacific","GUERRERO","ACAPULCO","AC_LAS_CUEVAS",16.817778,-99.905166,"Not protected","3","3.049715948","0.344827586","3","26","3.394543534","9.375","31.82384563",c(-99.905166, 16.817778)
6,"Northwest Mexico","NAYARIT","ISLA_ISABEL","ACANTILADO_EL_FARO",21.840285,-105.886261,"Not take zone","2","1.553165949","0","0","195","1.553165949","4.375","6.795101026",c(-105.886261, 21.840285)
7,"Mexican Pacific","COLIMA","REVILLAGIGEDO","ACUARIO",18.779559,-111.043402,"Not take zone","NA","NA","NA","NA","NA","NA","NA","NA",c(-111.043402, 18.779559)
8,"Northwest Mexico","BAJA_CALIFORNIA","BAHIA DE LOS ANGELES","AG_ANIMAS",28.696497,-112.931658,"Not take zone","1","1.278252787","0","2","140","1.278252787","5","6.391263937",c(-112.931658, 28.696497)
9,"Northwest Mexico","BAJA_CALIFORNIA","BAHIA DE LOS ANGELES","AG_ANIMAS_LAVADERO",28.698651,-112.904691,"Not take zone","2","1.257554686","0","2","140","1.257554686","5","6.287773432",c(-112.904691, 28.698651)
10,"Northwest Mexico","BAJA_CALIFORNIA","ENSENADA","AGUA_DULCE",31.54747256,-116.6913751,"Not protected","1","2.095181164","0.172413793","0","94","2.267594957","4.375","9.920727939",c(-116.6913751, 31.54747256)
11,"Mexican Pacific","COLIMA","MANZANILLO","AHOGADA",19.09494844,-104.424838,"Not protected","5","2.934155948","0.689655172","1","208","3.62381112","8.125","29.44346535",c(-104.424838, 19.09494844)
12,"Gulf of Mexico","VERACRUZ","VERACRUZ","AHOGADO_2",19.22143011,-96.05753046,"Into MPA","1","2.530520025","1.724137931","3","6","4.254657956","7.5","31.90993467",c(-96.05753046, 19.22143011)
13,"Gulf of Mexico","VERACRUZ","VERACRUZ","AHOGADO_4",19.21772106,-96.05593373,"Into MPA","1","2.546432295","1.896551724","3","6","4.442984019","7.5","33.32238015",c(-96.05593373, 19.21772106)
14,"Gulf of Mexico","VERACRUZ","VERACRUZ","AHOGADO_DE_LA_I",19.11803705,-95.94375516,"Into MPA","1","2.531551474","1.896551724","0","301","4.428103198","7.5","33.21077398",c(-95.94375516, 19.11803705)
15,"Gulf of Mexico","VERACRUZ","VERACRUZ","AHOGADO_DEL_ARQUITECTO",19.22146667,-96.05788333,"Into MPA","1","2.530520025","1.724137931","3","6","4.254657956","7.5","31.90993467",c(-96.05788333, 19.22146667)
16,"Yucatan Peninsula","QUINTANA_ROO","AKUMAL","AK_LA_ISLA",20.397703,-87.30325,"Into MPA","1","3.897682497","0.689655172","0","387","4.587337669","6.875","31.53794648",c(-87.30325, 20.397703)
17,"Northwest Mexico","JALISCO","PUERTO_VALLARTA","AMARRADERO",20.699884,-105.564854,"Into MPA","3","2.410379501","0.344827586","3","73","2.755207087","8.75","24.10806201",c(-105.564854, 20.699884)
18,"Gulf of Mexico","VERACRUZ","VERACRUZ","ANA_ELENA",19.1684831,-95.86115506,"Into MPA","1","2.082088613","0.862068966","0","301","2.944157579","7.5","22.08118184",c(-95.86115506, 19.1684831)
19,"Northwest Mexico","BAJA_CALIFORNIA SUR","LOS_CABOS","ANEGADA",22.878553,-109.898835,"Into MPA","12","3.728597076","0.172413793","3","17","3.90101087","9.375","36.5719769",c(-109.898835, 22.878553)
20,"Gulf of Mexico","VERACRUZ","VERACRUZ","ANEGADA_DE_ADENTRO",19.22306138,-96.05155,"Into MPA","9","2.496792651","1.724137931","3","6","4.220930582","7.5","31.65697936",c(-96.05155, 19.22306138)
